,# assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,sp
202998,GCF_019645815.1,PRJNA224116,SAMN20254261,,representative genome,512402,512402,Mycolicibacter heraklionensis,strain=JCM 30995,,latest,Complete Genome,Major,Full,2021/08/17,ASM1964581v1,Research Institute of Tuberculosis,GCA_019645815.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/645/815/GCF_019645815.1_ASM1964581v1,,assembly from type material,na,Mycolicibacter_heraklionensis
34517,GCF_000975265.2,PRJNA224116,SAMN03481272,,representative genome,480418,480418,Mycobacterium lepromatosis,strain=FJ924,,latest,Complete Genome,Major,Full,2022/02/07,ASM97526v2,The University of Texas MD Anderson Cancer Center,GCA_000975265.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/975/265/GCF_000975265.2_ASM97526v2,,assembly from type material,na,Mycobacterium_lepromatosis
494,GCF_000157895.3,PRJNA224116,SAMN02603596,,representative genome,557599,1768,Mycobacterium kansasii ATCC 12478,strain=ATCC 12478,,latest,Complete Genome,Major,Full,2013/11/01,ASM15789v2,McGill University,GCA_000157895.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/895/GCF_000157895.3_ASM15789v2,,assembly from type material,na,Mycobacterium_kansasii
491,GCF_015689175.1,PRJNA224116,SAMN16828374,,na,120959,120959,Mycobacterium kubicae,strain=JCM 13573,,latest,Complete Genome,Major,Full,2020/11/25,ASM1568917v1,National Jewish Health,GCA_015689175.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/689/175/GCF_015689175.1_ASM1568917v1,,assembly from type material,na,Mycobacterium_kubicae
481,GCF_010731655.1,PRJNA224116,SAMD00153204,,representative genome,590652,590652,Mycobacterium paraseoulense,strain=JCM 16952,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073165v1,"Department of Infection Metagenomics, Osaka University",GCA_010731655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/655/GCF_010731655.1_ASM1073165v1,,assembly from type material,na,Mycobacterium_paraseoulense
479,GCF_022430545.2,PRJNA224116,SAMN20254271,,representative genome,577492,577492,Mycobacterium paraterrae,strain=DSM 45127,,latest,Complete Genome,Major,Full,2022/09/07,ASM2243054v2,Research Institute of Tuberculosis,GCA_022430545.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/430/545/GCF_022430545.2_ASM2243054v2,,assembly from type material,na,Mycobacterium_paraterrae
465,GCF_005670685.2,PRJNA224116,SAMN08339096,,representative genome,1226753,56689,Mycolicibacterium mucogenicum DSM 44124,strain=DSM 44124,,latest,Complete Genome,Major,Full,2020/11/23,ASM567068v2,Uppsala University,GCA_005670685.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/670/685/GCF_005670685.2_ASM567068v2,,,na,Mycolicibacterium_mucogenicum
461,GCF_003584745.1,PRJNA224116,SAMD00096819,,representative genome,1136880,265949,Mycobacterium pseudoshottsii JCM 15466,strain=JCM 15466,,latest,Complete Genome,Major,Full,2017/10/25,ASM358474v1,National Institute of Infectious Diseases,GCA_003584745.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/584/745/GCF_003584745.1_ASM358474v1,,assembly from type material,na,Mycobacterium_pseudoshottsii
477,GCF_010730575.1,PRJNA224116,SAMD00153193,,representative genome,185642,185642,Mycobacterium parmense,strain=JCM 14742,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073057v1,"Department of Infection Metagenomics, Osaka University",GCA_010730575.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/730/575/GCF_010730575.1_ASM1073057v1,,assembly from type material,na,Mycobacterium_parmense
515,GCF_010731535.1,PRJNA224116,SAMD00153198,,representative genome,169765,169765,Mycobacterium lacus,strain=JCM 15657,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073153v1,"Department of Infection Metagenomics, Osaka University",GCA_010731535.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/535/GCF_010731535.1_ASM1073153v1,,assembly from type material,na,Mycobacterium_lacus
28024,GCF_000829075.1,PRJNA224116,SAMD00061038,,na,1229671,1764,Mycobacterium avium subsp. hominissuis TH135,strain=TH135,,latest,Complete Genome,Major,Full,2013/10/01,ASM82907v1,Meijo University faculty of pharmacy,GCA_000829075.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/075/GCF_000829075.1_ASM82907v1,,,na,Mycobacterium_hominissuis
10271,GCF_000390085.1,PRJNA224116,SAMN02603716,,na,1199187,1764,Mycobacterium avium subsp. paratuberculosis MAP4,strain=MAP4,,latest,Complete Genome,Major,Full,2013/05/09,ASM39008v1,Penn State University,GCA_000390085.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/085/GCF_000390085.1_ASM39008v1,,,na,Mycobacterium_paratuberculosis
3460,GCF_000219085.2,PRJNA224116,SAMN02470597,,na,1010838,1764,Mycobacterium avium subsp. paratuberculosis S397,strain=S397,,latest,Complete Genome,Major,Full,2020/12/10,ASM21908v3,USDA-ARS-National Animal Disease Center,GCA_000219085.3,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/085/GCF_000219085.2_ASM21908v3,,,na,Mycobacterium_paratuberculosis
3274,GCF_000214155.1,PRJNA224116,SAMN02603865,,representative genome,875328,875328,Mycolicibacter sinensis,strain=JDM601,,latest,Complete Genome,Major,Full,2011/05/20,ASM21415v1,Shanghai Jiao Tong University School of Medicine,GCA_000214155.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/155/GCF_000214155.1_ASM21415v1,,assembly from type material,na,Mycolicibacter_sinensis
3014,GCF_000195855.1,PRJNA224116,SAMEA1705921,,na,272631,1769,Mycobacterium leprae TN,strain=TN,,latest,Complete Genome,Major,Full,2003/05/06,ASM19585v1,Sanger Institute,GCA_000195855.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/855/GCF_000195855.1_ASM19585v1,,,na,Mycobacterium_leprae
941,GCF_000026445.2,PRJNA224116,SAMN02603618,,na,459424,261524,Mycobacterium liflandii 128FXT,strain=128FXT,,latest,Complete Genome,Major,Full,2013/01/16,ASM2644v2,Monash University,GCA_000026445.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/445/GCF_000026445.2_ASM2644v2,,,na,Mycobacterium_liflandii
537,GCF_022374895.2,PRJNA224116,SAMN20254258,,na,141349,141349,Mycobacterium lentiflavum,strain=ATCC 51985,,latest,Complete Genome,Major,Full,2022/08/24,ASM2237489v2,Research Institute of Tuberculosis,GCA_022374895.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/374/895/GCF_022374895.2_ASM2237489v2,,assembly from type material,na,Mycobacterium_lentiflavum
528,GCF_022558505.1,PRJNA224116,SAMN15569027,,na,1780,1780,Mycobacterium malmoense,strain=DSM 44163,,latest,Complete Genome,Major,Full,2022/03/14,ASM2255850v1,Uppsala University,GCA_022558505.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/558/505/GCF_022558505.1_ASM2255850v1,,assembly from type material,na,Mycobacterium_malmoense
147,GCF_010727125.1,PRJNA224116,SAMD00153172,,na,1788,1788,Mycolicibacter terrae,strain=JCM 12143,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072712v1,"Department of Infection Metagenomics, Osaka University",GCA_010727125.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/727/125/GCF_010727125.1_ASM1072712v1,,assembly from type material,na,Mycolicibacter_terrae
284586,GCF_900292015.1,PRJNA224116,SAMEA104628733,,representative genome,2094119,2094119,Mycobacterium basiliense,,901379,latest,Complete Genome,Major,Full,2018/12/12,MB901379,University Hospital Basel,GCA_900292015.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/292/015/GCF_900292015.1_MB901379,,assembly from type material,na,Mycobacterium_basiliense
32,GCF_000277125.1,PRJNA224116,SAMN02603186,,na,487521,1767,Mycobacterium intracellulare ATCC 13950,strain=ATCC 13950,,latest,Complete Genome,Major,Full,2012/02/29,ASM27712v1,"Department of Microbiology and Immunology, Seoul National University",GCA_000277125.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/125/GCF_000277125.1_ASM27712v1,,assembly from type material,na,Mycobacterium_intracellulare
105,GCF_002356315.1,PRJNA224116,SAMD00081394,,representative genome,722731,722731,Mycobacterium shigaense,strain=JCM 32072,,latest,Complete Genome,Major,Full,2017/06/15,ASM235631v1,National Institute of Infectious Diseases,GCA_002356315.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/315/GCF_002356315.1_ASM235631v1,,assembly from type material,na,Mycobacterium_shigaense
23,GCF_022179545.1,PRJNA224116,SAMD00436749,,na,144549,1766,Mycolicibacterium fortuitum subsp. fortuitum,strain=JCM 6387,,latest,Complete Genome,Major,Full,2022/01/27,ASM2217954v1,"Mycobacteriology, National Institute of Infectious Diseases",GCA_022179545.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/179/545/GCF_022179545.1_ASM2217954v1,,assembly from type material,na,Mycolicibacterium_fortuitum
19,GCF_000497265.2,PRJNA224116,SAMD00036666,,na,1001714,36809,Mycobacteroides abscessus subsp. massiliense CCUG 48898 = JCM 15300,strain=JCM 15300,,latest,Complete Genome,Major,Full,2014/12/09,ASM49726v2,"Laboratory of Bacterial Genomics, Pathogen Genomic Center, National Institute of Infectious Diseases",GCA_000497265.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/497/265/GCF_000497265.2_ASM49726v2,,assembly from type material,na,Mycobacteroides_massiliense
128,GCF_009936235.1,PRJNA224116,SAMD00197529,,na,1789,1789,Mycobacterium xenopi,strain=JCM 15661,,latest,Complete Genome,Major,Full,2019/12/25,ASM993623v1,"Mycobacteriology, National Institute of Infectious Diseases",GCA_009936235.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/936/235/GCF_009936235.1_ASM993623v1,,assembly from type material,na,Mycobacterium_xenopi
17,GCF_003390495.1,PRJNA224116,SAMN09770287,,na,2480908,1774,[Mycobacterium] chelonae subsp. gwanakae,strain=MOTT36W,,latest,Complete Genome,Major,Full,2018/08/15,ASM339049v1,Seoul National University College of Medicine,GCA_003390495.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/390/495/GCF_003390495.1_ASM339049v1,,assembly from type material,na,[Mycobacterium]_gwanakae
13,GCF_001632805.1,PRJNA224116,SAMN02630629,,representative genome,1460372,1774,Mycobacteroides chelonae CCUG 47445,strain=CCUG 47445,,latest,Complete Genome,Major,Full,2016/04/27,ASM163280v1,University of Balearic Islands,GCA_001632805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/632/805/GCF_001632805.1_ASM163280v1,,assembly from type material,na,Mycobacteroides_chelonae
7,GCF_003609715.1,PRJNA224116,SAMD00106553,,na,1091046,36809,Mycobacteroides abscessus subsp. bolletii BD,strain=BD,,latest,Complete Genome,Major,Full,2017/12/18,ASM360971v1,National Institute of Infectious Diseases,GCA_003609715.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/609/715/GCF_003609715.1_ASM360971v1,,assembly from type material,na,Mycobacteroides_bolletii
62,GCF_004355245.1,PRJNA224116,SAMN10532726,,na,2099321,1774,[Mycobacterium] chelonae subsp. chelonae,strain=DSM 43804,,latest,Complete Genome,Major,Full,2019/03/19,ASM435524v1,Uppsala University,GCA_004355245.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/355/245/GCF_004355245.1_ASM435524v1,,assembly from type material,na,[Mycobacterium]_chelonae
132,GCF_013466425.1,PRJNA224116,SAMN15540336,,representative genome,1719132,1719132,Mycobacterium vicinigordonae,strain=24,,latest,Complete Genome,Major,Full,2020/07/22,ASM1346642v1,"Beijing Chest Hospital, Capital Medical University",GCA_013466425.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/466/425/GCF_013466425.1_ASM1346642v1,,assembly from type material,na,Mycobacterium_vicinigordonae
102,GCF_010730055.1,PRJNA224116,SAMD00153190,,representative genome,398694,398694,Mycobacterium shinjukuense,strain=JCM 14233,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073005v1,"Department of Infection Metagenomics, Osaka University",GCA_010730055.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/730/055/GCF_010730055.1_ASM1073005v1,,assembly from type material,na,Mycobacterium_shinjukuense
100,GCF_019456695.2,PRJNA224116,SAMN04549864,,na,133549,133549,Mycobacterium shottsii,strain=M175,,latest,Complete Genome,Major,Full,2022/04/12,ASM1945669v2,Old Dominion University,GCA_019456695.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/456/695/GCF_019456695.2_ASM1945669v2,,assembly from type material,na,Mycobacterium_shottsii
34,GCF_000418535.1,PRJNA224116,SAMN02603187,,na,1138871,1767,Mycobacterium intracellulare subsp. yongonense 05-1390,strain=05-1390,,latest,Complete Genome,Major,Full,2013/07/08,ASM41853v2,"Department of Microbiology and Immunology, Seoul National University",GCA_000418535.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/418/535/GCF_000418535.1_ASM41853v2,,assembly from type material,na,Mycobacterium_yongonense
109,GCF_002356335.1,PRJNA224116,SAMD00081530,,representative genome,1520670,1520670,[Mycobacterium] stephanolepidis,strain=NJB0901,,latest,Complete Genome,Major,Full,2017/06/17,ASM235633v1,National Institute of Infectious Diseases,GCA_002356335.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/335/GCF_002356335.1_ASM235633v1,,assembly from type material,na,[Mycobacterium]_stephanolepidis
120,GCF_010729105.1,PRJNA224116,SAMD00153183,,representative genome,220927,220927,Mycobacterium saskatchewanense,strain=JCM 13016,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072910v1,"Department of Infection Metagenomics, Osaka University",GCA_010729105.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/729/105/GCF_010729105.1_ASM1072910v1,,assembly from type material,na,Mycobacterium_saskatchewanense
112,GCF_010731595.1,PRJNA224116,SAMD00153201,,representative genome,386911,386911,Mycobacterium seoulense,strain=JCM 16018,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073159v1,"Department of Infection Metagenomics, Osaka University",GCA_010731595.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/595/GCF_010731595.1_ASM1073159v1,,assembly from type material,na,Mycobacterium_seoulense
40,GCF_002219285.1,PRJNA224116,SAMN01174703,,na,222805,1767,Mycobacterium intracellulare subsp. chimaera,strain=DSM 44623,,latest,Complete Genome,Major,Full,2017/07/14,ASM221928v1,Leibniz Institute DSMZ,GCA_002219285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/219/285/GCF_002219285.1_ASM221928v1,,assembly from type material,na,Mycobacterium_chimaera
98,GCF_010727605.1,PRJNA224116,SAMD00153175,,representative genome,1784,1784,Mycobacterium simiae,strain=JCM 12377,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072760v1,"Department of Infection Metagenomics, Osaka University",GCA_010727605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/727/605/GCF_010727605.1_ASM1072760v1,,assembly from type material,na,Mycobacterium_simiae
137,GCF_022374915.2,PRJNA224116,SAMN20254269,,na,1809,1809,Mycobacterium ulcerans,strain=ATCC 19423,,latest,Complete Genome,Major,Full,2022/09/02,ASM2237491v3,Research Institute of Tuberculosis,GCA_022374915.3,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/374/915/GCF_022374915.2_ASM2237491v3,,assembly from type material,na,Mycobacterium_ulcerans
65,GCF_022370835.2,PRJNA224116,SAMN20254257,,representative genome,1069221,1069221,Mycolicibacillus parakoreensis,strain=DSM 45575,,latest,Complete Genome,Major,Full,2022/08/24,ASM2237083v2,Research Institute of Tuberculosis,GCA_022370835.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/370/835/GCF_022370835.2_ASM2237083v2,,assembly from type material,na,Mycolicibacillus_parakoreensis
72,GCF_010731755.1,PRJNA224116,SAMD00153210,,representative genome,1118379,1118379,Mycolicibacter minnesotensis,strain=JCM 17932,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073175v1,"Department of Infection Metagenomics, Osaka University",GCA_010731755.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/755/GCF_010731755.1_ASM1073175v1,,assembly from type material,na,Mycolicibacter_minnesotensis
3,GCF_009741445.1,PRJNA224116,SAMN13352280,,na,44454,1764,Mycobacterium avium subsp. avium,strain=DSM 44156,,latest,Complete Genome,Major,Full,2019/12/11,ASM974144v1,Leibniz Institute DSMZ,GCA_009741445.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/741/445/GCF_009741445.1_ASM974144v1,,assembly from type material,na,Mycobacterium_avium
214,GCF_900108565.1,PRJNA224116,SAMN04489835,,representative genome,370526,370526,Mycolicibacterium rutilum,strain=DSM 45405,,latest,Chromosome,Major,Full,2016/10/27,IMG-taxon 2636415969 annotated assembly,DOE - JOINT GENOME INSTITUTE,GCA_900108565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/108/565/GCF_900108565.1_IMG-taxon_2636415969_annotated_assembly,,assembly from type material,na,Mycolicibacterium_rutilum
169,GCF_003855255.1,PRJNA224116,SAMN10393184,,representative genome,2487344,2487344,Mycolicibacterium nivoides,strain=DL90,,latest,Chromosome,Major,Full,2018/12/02,ASM385525v1,University of Minnesota,GCA_003855255.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/855/255/GCF_003855255.1_ASM385525v1,,assembly from type material,na,Mycolicibacterium_nivoides
114,GCF_019668465.1,PRJNA224116,SAMD00250051,,representative genome,2775496,2775496,Mycobacterium senriense,strain=TY59,,latest,Chromosome,Major,Full,2021/07/10,ASM1966846v1,Department of Infection Metagenomics,GCA_019668465.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/668/465/GCF_019668465.1_ASM1966846v1,,assembly from type material,na,Mycobacterium_senriense
12,GCF_000971805.1,PRJNA224116,SAMN02837161,,na,1774,1774,Mycobacteroides chelonae,strain=ATCC 35752,,latest,Chromosome,Major,Full,2015/04/14,ASM97180v1,National Jewish Health,GCA_000971805.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/971/805/GCF_000971805.1_ASM97180v1,,assembly from type material,na,Mycobacteroides_chelonae
3430,GCF_000218035.1,PRJNA224116,SAMN00222093,AFPC00000000.1,na,1029815,1764,Mycobacterium avium subsp. paratuberculosis Pt139,strain=Pt139,,latest,Contig,Major,Full,2011/06/13,ASM21803v2,The Commonwealth Scientific and Industrial Research Organisation (CSIRO),GCA_000218035.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/035/GCF_000218035.1_ASM21803v2,,,na,Mycobacterium_paratuberculosis
538,GCF_000612825.1,PRJNA224116,SAMEA3138978,CCBF000000000.1,na,1209984,53462,Mycolicibacterium mageritense DSM 44476 = CIP 104973,strain=CIP 104973,,latest,Contig,Major,Full,2014/03/31,PRJEB5749_assembly_1,URMITE,GCA_000612825.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/612/825/GCF_000612825.1_PRJEB5749_assembly_1,,assembly from type material,na,Mycolicibacterium_mageritense
4176,GCF_000240425.1,PRJNA224116,SAMN02472021,AGAM00000000.1,na,1078003,1764,Mycobacterium avium subsp. paratuberculosis 4B,strain=4B,,latest,Contig,Major,Full,2011/12/29,ASM24042v2,University of Wisconsin- Madison,GCA_000240425.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/425/GCF_000240425.1_ASM24042v2,,,na,Mycobacterium_paratuberculosis
4175,GCF_000240405.1,PRJNA224116,SAMN02472019,AGAL00000000.1,na,1078002,1764,Mycobacterium avium subsp. paratuberculosis JTC 1285,strain=JTC 1285,,latest,Contig,Major,Full,2011/12/29,ASM24040v2,University of Wisconsin- Madison,GCA_000240405.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/405/GCF_000240405.1_ASM24040v2,,,na,Mycobacterium_paratuberculosis
4174,GCF_000240385.1,PRJNA224116,SAMN02472017,AGAK00000000.1,na,1078001,1764,Mycobacterium avium subsp. paratuberculosis 1281,strain=1281,,latest,Contig,Major,Full,2011/12/29,ASM24038v2,University of Wisconsin- Madison,GCA_000240385.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/385/GCF_000240385.1_ASM24038v2,,,na,Mycobacterium_paratuberculosis
437,GCF_000691525.1,PRJNA224116,SAMN02729281,JMDW00000000.1,na,1265312,1795,Mycolicibacterium neoaurum ATCC 25795,strain=ATCC 25795,,latest,Contig,Major,Full,2014/05/15,ATCC25795_good_1 (paired) assembly,East China University of Science and Technology,GCA_000691525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/691/525/GCF_000691525.1_ATCC25795_good_1_paired_assembly,,assembly from type material,na,Mycolicibacterium_neoaurum
3436,GCF_000218155.1,PRJNA224116,SAMN00222099,AFPI00000000.1,na,1029821,1764,Mycobacterium avium subsp. paratuberculosis Pt164,strain=Pt164,,latest,Contig,Major,Full,2011/06/13,ASM21815v2,The Commonwealth Scientific and Industrial Research Organisation (CSIRO),GCA_000218155.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/155/GCF_000218155.1_ASM21815v2,,,na,Mycobacterium_paratuberculosis
3435,GCF_000218135.1,PRJNA224116,SAMN00222098,AFPH00000000.1,na,1029820,1764,Mycobacterium avium subsp. paratuberculosis Pt155,strain=Pt155,,latest,Contig,Major,Full,2011/06/13,ASM21813v2,The Commonwealth Scientific and Industrial Research Organisation (CSIRO),GCA_000218135.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/135/GCF_000218135.1_ASM21813v2,,,na,Mycobacterium_paratuberculosis
3434,GCF_000218115.1,PRJNA224116,SAMN00222097,AFPG00000000.1,na,1029819,1764,Mycobacterium avium subsp. paratuberculosis Pt154,strain=Pt154,,latest,Contig,Major,Full,2011/06/13,ASM21811v2,The Commonwealth Scientific and Industrial Research Organisation (CSIRO),GCA_000218115.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/115/GCF_000218115.1_ASM21811v2,,,na,Mycobacterium_paratuberculosis
3341,GCF_000216015.1,PRJNA224116,SAMN00222100,AFHX00000000.1,na,1029814,1764,Mycobacterium avium subsp. paratuberculosis CLIJ623,strain=CLIJ623,,latest,Contig,Major,Full,2011/06/07,ASM21601v2,The Commonwealth Scientific and Industrial Research Organisation (CSIRO),GCA_000216015.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/015/GCF_000216015.1_ASM21601v2,,,na,Mycobacterium_paratuberculosis
3433,GCF_000218095.1,PRJNA224116,SAMN00222096,AFPF00000000.1,na,1029818,1764,Mycobacterium avium subsp. paratuberculosis Pt146,strain=Pt146,,latest,Contig,Major,Full,2011/06/13,ASM21809v2,The Commonwealth Scientific and Industrial Research Organisation (CSIRO),GCA_000218095.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/095/GCF_000218095.1_ASM21809v2,,,na,Mycobacterium_paratuberculosis
42,GCF_002086285.1,PRJNA224116,SAMN06064243,MVHU00000000.1,representative genome,354243,354243,Mycolicibacter kumamotonensis,strain=DSM 45093,,latest,Contig,Major,Full,2017/04/11,ASM208628v1,San Raffaele Scientific Institute,GCA_002086285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/285/GCF_002086285.1_ASM208628v1,,assembly from type material,na,Mycolicibacter_kumamotonensis
3333,GCF_000215815.1,PRJNA224116,SAMN00222102,AFNR00000000.1,na,1029813,1764,Mycobacterium avium subsp. paratuberculosis CLIJ644,strain=CLIJ644,,latest,Contig,Major,Full,2011/06/06,ASM21581v2,The Commonwealth Scientific and Industrial Research Organisation (CSIRO),GCA_000215815.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/815/GCF_000215815.1_ASM21581v2,,,na,Mycobacterium_paratuberculosis
3334,GCF_000215835.1,PRJNA224116,SAMN00222103,AFNS00000000.1,na,1029812,1764,Mycobacterium avium subsp. paratuberculosis CLIJ361,strain=CLIJ361,,latest,Contig,Major,Full,2011/06/06,ASM21583v2,The Commonwealth Scientific and Industrial Research Organisation (CSIRO),GCA_000215835.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/835/GCF_000215835.1_ASM21583v2,,,na,Mycobacterium_paratuberculosis
3432,GCF_000218075.1,PRJNA224116,SAMN00222095,AFPE00000000.1,na,1029817,1764,Mycobacterium avium subsp. paratuberculosis Pt145,strain=Pt145,,latest,Contig,Major,Full,2011/06/13,ASM21807v2,The Commonwealth Scientific and Industrial Research Organisation (CSIRO),GCA_000218075.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/075/GCF_000218075.1_ASM21807v2,,,na,Mycobacterium_paratuberculosis
4177,GCF_000240445.1,PRJNA224116,SAMN02472023,AGAN00000000.1,na,1078004,1764,Mycobacterium avium subsp. paratuberculosis DT 3,strain=DT 3,,latest,Contig,Major,Full,2011/12/29,ASM24044v2,University of Wisconsin- Madison,GCA_000240445.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/445/GCF_000240445.1_ASM24044v2,,,na,Mycobacterium_paratuberculosis
3431,GCF_000218055.1,PRJNA224116,SAMN00222094,AFPD00000000.1,na,1029816,1764,Mycobacterium avium subsp. paratuberculosis Pt144,strain=Pt144,,latest,Contig,Major,Full,2011/06/13,ASM21805v2,The Commonwealth Scientific and Industrial Research Organisation (CSIRO),GCA_000218055.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/055/GCF_000218055.1_ASM21805v2,,,na,Mycobacterium_paratuberculosis
44,GCF_002086715.1,PRJNA224116,SAMN06064258,MVII00000000.1,na,1578165,1578165,Mycobacteroides saopaulense,strain=CCUG 66554,,latest,Contig,Major,Full,2017/04/11,ASM208671v1,San Raffaele Scientific Institute,GCA_002086715.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/086/715/GCF_002086715.1_ASM208671v1,,assembly from type material,na,Mycobacteroides_saopaulense
472,GCF_009192875.1,PRJNA224116,SAMN04481318,ANBP00000000.1,na,1226750,1771,Mycolicibacterium phlei DSM 43239 = CCUG 21000,strain=CCUG 21000,,latest,Contig,Major,Full,2019/10/21,ASM919287v1,Uppasala Univeristy & Jawaharlal Nehru University,GCA_009192875.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/192/875/GCF_009192875.1_ASM919287v1,,assembly from type material,na,Mycolicibacterium_phlei
