Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Mycobacterium intracellulare strain FJ12007 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium intracellulare,173,173,25%,1e-41,69.95,430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432619.1?report=genbank&log$=nucltop&blast_rank=701&RID=6PVX24BJ016"",""KF432619.1"")"
"Mycobacterium intracellulare strain FJ10069 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium intracellulare,173,173,25%,1e-41,69.95,443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432542.1?report=genbank&log$=nucltop&blast_rank=702&RID=6PVX24BJ016"",""KF432542.1"")"
"Mycobacterium intracellulare strain FJ06111 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium intracellulare,173,173,25%,1e-41,69.95,443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432456.1?report=genbank&log$=nucltop&blast_rank=703&RID=6PVX24BJ016"",""KF432456.1"")"
"Mycobacterium saskatchewanense strain FJ05549 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium saskatchewanense,173,173,25%,1e-41,70.64,435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432453.1?report=genbank&log$=nucltop&blast_rank=704&RID=6PVX24BJ016"",""KF432453.1"")"
"Mycobacterium intracellulare strain AH11271 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium intracellulare,173,173,25%,1e-41,69.95,437,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432433.1?report=genbank&log$=nucltop&blast_rank=705&RID=6PVX24BJ016"",""KF432433.1"")"
"Mycobacterium intracellulare isolate M1226/18 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium intracellulare,173,173,25%,1e-41,69.95,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW631935.1?report=genbank&log$=nucltop&blast_rank=706&RID=6PVX24BJ016"",""MW631935.1"")"
"Mycobacterium terrae strain FI-07146 65 kDa heat shock protein (hsp65) gene, partial cds",Mycolicibacter terrae,173,173,24%,1e-41,71.11,399,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN571207.1?report=genbank&log$=nucltop&blast_rank=707&RID=6PVX24BJ016"",""JN571207.1"")"
"Mycobacterium intracellulare strain RGTB649 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium intracellulare,173,173,25%,1e-41,69.95,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM454232.1?report=genbank&log$=nucltop&blast_rank=708&RID=6PVX24BJ016"",""HM454232.1"")"
"Mycobacterium sp. ATCC BAA-2132 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium sp. ATCC BAA-2132,173,173,25%,1e-41,69.95,440,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM755950.1?report=genbank&log$=nucltop&blast_rank=709&RID=6PVX24BJ016"",""HM755950.1"")"
"Mycobacterium timonense strain CIP 109830 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium timonense,173,173,25%,1e-41,69.95,425,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM602038.1?report=genbank&log$=nucltop&blast_rank=710&RID=6PVX24BJ016"",""HM602038.1"")"
"Mycobacterium simiae strain M14 65 kDa heat shock protein gene, partial cds",Mycobacterium simiae,173,173,22%,1e-41,72.01,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ184168.1?report=genbank&log$=nucltop&blast_rank=711&RID=6PVX24BJ016"",""GQ184168.1"")"
"Mycobacterium sp. GN-10643 65 kDa heat shock protein gene, partial cds",Mycobacterium sp. GN-10643,173,173,25%,1e-41,70.07,420,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ497244.1?report=genbank&log$=nucltop&blast_rank=712&RID=6PVX24BJ016"",""FJ497244.1"")"
"Mycobacterium noviomagense strain NLA000500338 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium noviomagense,173,173,24%,1e-41,70.52,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU600390.1?report=genbank&log$=nucltop&blast_rank=713&RID=6PVX24BJ016"",""EU600390.1"")"
"Mycobacterium simiae strain variant VM938 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium simiae,173,173,22%,1e-41,72.01,401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY550223.1?report=genbank&log$=nucltop&blast_rank=714&RID=6PVX24BJ016"",""AY550223.1"")"
Mycobacterium intracellulare partial hsp65 gene for 65 kDa heat shock protein,Mycobacterium intracellulare,173,173,25%,1e-41,69.95,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AJ307633.1?report=genbank&log$=nucltop&blast_rank=715&RID=6PVX24BJ016"",""AJ307633.1"")"
"Mycobacterium marinum 65 kDa heat shock protein gene, partial cds",Mycobacterium marinum,173,173,27%,1e-41,69.01,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/U55831.1?report=genbank&log$=nucltop&blast_rank=716&RID=6PVX24BJ016"",""U55831.1"")"
"Mycolicibacter sp. strain MYC047 Hsp65 gene, partial cds",Mycolicibacter sp.,172,172,22%,1e-41,71.58,401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK876898.1?report=genbank&log$=nucltop&blast_rank=717&RID=6PVX24BJ016"",""MK876898.1"")"
"Mycobacterium abscessus subsp. bolletii strain 14I016 heat shock protein 65kDa (hsp65) gene, partial cds",Mycobacteroides abscessus subsp. bolletii,172,172,27%,1e-41,69.51,444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT185533.1?report=genbank&log$=nucltop&blast_rank=718&RID=6PVX24BJ016"",""KT185533.1"")"
"Mycobacterium abscessus subsp. bolletii strain 05I586 heat shock protein 65kDa (hsp65) gene, partial cds",Mycobacteroides abscessus subsp. bolletii,172,172,27%,1e-41,69.51,442,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT185528.1?report=genbank&log$=nucltop&blast_rank=719&RID=6PVX24BJ016"",""KT185528.1"")"
"Mycobacterium abscessus subsp. bolletii strain 04I462 heat shock protein 65kDa (hsp65) gene, partial cds",Mycobacteroides abscessus subsp. bolletii,172,172,27%,1e-41,69.51,444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT185527.1?report=genbank&log$=nucltop&blast_rank=720&RID=6PVX24BJ016"",""KT185527.1"")"
"Mycobacterium intracellulare strain XJ11068 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium intracellulare,172,172,27%,1e-41,69.44,444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432815.1?report=genbank&log$=nucltop&blast_rank=721&RID=6PVX24BJ016"",""KF432815.1"")"
"Mycobacterium gordonae strain FJ12078 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium gordonae,172,172,25%,1e-41,70.48,446,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432674.1?report=genbank&log$=nucltop&blast_rank=722&RID=6PVX24BJ016"",""KF432674.1"")"
"Mycobacterium gordonae strain FJ09064 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium gordonae,172,172,25%,1e-41,70.48,445,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432495.1?report=genbank&log$=nucltop&blast_rank=723&RID=6PVX24BJ016"",""KF432495.1"")"
"[Mycobacterium] fukienense strain FJ05534 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",[Mycobacterium] fukienense,172,172,27%,1e-41,69.51,443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432447.1?report=genbank&log$=nucltop&blast_rank=724&RID=6PVX24BJ016"",""KF432447.1"")"
"Mycobacterium gordonae strain FJ05243 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium gordonae,172,172,25%,1e-41,70.55,434,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432438.1?report=genbank&log$=nucltop&blast_rank=725&RID=6PVX24BJ016"",""KF432438.1"")"
"Mycobacterium europaeum partial groEL2 gene for chaperonin, strain DSM 45397",Mycobacterium europaeum,172,172,24%,1e-41,70.22,426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HG673726.1?report=genbank&log$=nucltop&blast_rank=726&RID=6PVX24BJ016"",""HG673726.1"")"
"Mycobacterium intracellulare strain B1_8_1 65 kDa heat shock protein gene, partial cds",Mycobacterium intracellulare,172,172,24%,1e-41,70.22,412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT433531.1?report=genbank&log$=nucltop&blast_rank=727&RID=6PVX24BJ016"",""MT433531.1"")"
"Mycobacterium intracellulare subsp. chimaera strain B1_7_2 65 kDa heat shock protein gene, partial cds",Mycobacterium intracellulare subsp. chimaera,172,172,24%,1e-41,70.22,412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT433530.1?report=genbank&log$=nucltop&blast_rank=728&RID=6PVX24BJ016"",""MT433530.1"")"
"Mycobacterium intracellulare strain B1_4 65 kDa heat shock protein gene, partial cds",Mycobacterium intracellulare,172,172,24%,1e-41,70.22,412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT433527.1?report=genbank&log$=nucltop&blast_rank=729&RID=6PVX24BJ016"",""MT433527.1"")"
"Mycobacterium colombiense strain InDRE 9m 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium colombiense,172,172,27%,1e-41,69.30,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX154106.1?report=genbank&log$=nucltop&blast_rank=730&RID=6PVX24BJ016"",""JX154106.1"")"
"Mycobacterium heraklionense strain FI-05158 65 kDa heat shock protein (hsp65) gene, partial cds",Mycolicibacter heraklionensis,172,172,22%,1e-41,71.58,399,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN571191.1?report=genbank&log$=nucltop&blast_rank=731&RID=6PVX24BJ016"",""JN571191.1"")"
"Mycobacterium sp. M-JY5 65-kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium sp. M-JY5,172,172,35%,1e-41,67.07,629,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY520551.1?report=genbank&log$=nucltop&blast_rank=732&RID=6PVX24BJ016"",""AY520551.1"")"
"Mycobacterium simiae strain variant MS685 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium simiae,172,172,24%,1e-41,70.78,401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY550224.1?report=genbank&log$=nucltop&blast_rank=733&RID=6PVX24BJ016"",""AY550224.1"")"
"Mycobacterium heidelbergense strain CIP 105424 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium heidelbergense,172,172,24%,1e-41,70.22,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF547844.1?report=genbank&log$=nucltop&blast_rank=734&RID=6PVX24BJ016"",""AF547844.1"")"
"Mycolicibacter sp. strain MYC334 Hsp65 gene, partial cds",Mycolicibacter sp.,171,171,24%,3e-41,70.60,401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK877161.1?report=genbank&log$=nucltop&blast_rank=735&RID=6PVX24BJ016"",""MK877161.1"")"
"Mycobacteroides abscessus subsp. bolletii strain CIP 108541 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacteroides abscessus subsp. bolletii,171,171,25%,3e-41,70.10,439,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY859675.2?report=genbank&log$=nucltop&blast_rank=736&RID=6PVX24BJ016"",""AY859675.2"")"
"Mycobacteroides abscessus subsp. abscessus strain 14I019 heat shock protein 65kDa (hsp65) gene, partial cds",Mycobacteroides abscessus subsp. abscessus,171,171,25%,3e-41,70.10,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT185534.1?report=genbank&log$=nucltop&blast_rank=737&RID=6PVX24BJ016"",""KT185534.1"")"
"Mycobacterium abscessus subsp. bolletii strain 07I004 heat shock protein 65kDa (hsp65) gene, partial cds",Mycobacteroides abscessus subsp. bolletii,171,171,25%,3e-41,70.10,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT185520.1?report=genbank&log$=nucltop&blast_rank=738&RID=6PVX24BJ016"",""KT185520.1"")"
"Mycobacteroides abscessus subsp. abscessus strain 13I330 heat shock protein 65kDa (hsp65) gene, partial cds",Mycobacteroides abscessus subsp. abscessus,171,171,25%,3e-41,70.10,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT185518.1?report=genbank&log$=nucltop&blast_rank=739&RID=6PVX24BJ016"",""KT185518.1"")"
"Mycobacterium avium strain SC11084 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium avium,171,171,25%,3e-41,70.02,439,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432809.1?report=genbank&log$=nucltop&blast_rank=740&RID=6PVX24BJ016"",""KF432809.1"")"
"Mycobacterium intracellulare strain HN11088 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium intracellulare,171,171,25%,3e-41,70.02,446,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432795.1?report=genbank&log$=nucltop&blast_rank=741&RID=6PVX24BJ016"",""KF432795.1"")"
"Mycobacterium intracellulare strain HN11066 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium intracellulare,171,171,25%,3e-41,70.02,433,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432775.1?report=genbank&log$=nucltop&blast_rank=742&RID=6PVX24BJ016"",""KF432775.1"")"
"Mycobacterium intracellulare strain HN11055 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium intracellulare,171,171,25%,3e-41,70.02,436,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432765.1?report=genbank&log$=nucltop&blast_rank=743&RID=6PVX24BJ016"",""KF432765.1"")"
"Mycobacteroides abscessus strain HN11054 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacteroides abscessus,171,171,25%,3e-41,70.10,444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432764.1?report=genbank&log$=nucltop&blast_rank=744&RID=6PVX24BJ016"",""KF432764.1"")"
"Mycobacterium gordonae strain FJ12032 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium gordonae,171,171,24%,3e-41,70.34,423,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432638.1?report=genbank&log$=nucltop&blast_rank=745&RID=6PVX24BJ016"",""KF432638.1"")"
"Mycobacterium intracellulare strain FJ12012 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium intracellulare,171,171,25%,3e-41,70.02,445,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432623.1?report=genbank&log$=nucltop&blast_rank=746&RID=6PVX24BJ016"",""KF432623.1"")"
"Mycobacterium intracellulare strain FJ12003 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium intracellulare,171,171,25%,3e-41,70.02,445,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432615.1?report=genbank&log$=nucltop&blast_rank=747&RID=6PVX24BJ016"",""KF432615.1"")"
"Mycobacteroides abscessus strain FJ10115 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacteroides abscessus,171,171,25%,3e-41,70.10,431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432578.1?report=genbank&log$=nucltop&blast_rank=748&RID=6PVX24BJ016"",""KF432578.1"")"
"Mycobacteroides abscessus strain FJ10078 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacteroides abscessus,171,171,25%,3e-41,70.10,440,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432551.1?report=genbank&log$=nucltop&blast_rank=749&RID=6PVX24BJ016"",""KF432551.1"")"
"Mycobacterium intracellulare strain FJ09046 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium intracellulare,171,171,25%,3e-41,70.02,445,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432489.1?report=genbank&log$=nucltop&blast_rank=750&RID=6PVX24BJ016"",""KF432489.1"")"
"Mycobacterium avium strain FJ09030 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium avium,171,171,25%,3e-41,70.02,445,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432482.1?report=genbank&log$=nucltop&blast_rank=751&RID=6PVX24BJ016"",""KF432482.1"")"
"Mycobacteroides abscessus strain FJ09005 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacteroides abscessus,171,171,25%,3e-41,70.10,442,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432477.1?report=genbank&log$=nucltop&blast_rank=752&RID=6PVX24BJ016"",""KF432477.1"")"
"Mycobacterium senuense strain DSM44999 65 kDa heat shock protein (hsp65) gene, partial cds",Mycolicibacter senuensis,171,171,22%,3e-41,71.63,399,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN571200.1?report=genbank&log$=nucltop&blast_rank=753&RID=6PVX24BJ016"",""JN571200.1"")"
"Mycobacterium abscessus strain RGTB180 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacteroides abscessus,171,171,25%,3e-41,70.10,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM454214.1?report=genbank&log$=nucltop&blast_rank=754&RID=6PVX24BJ016"",""HM454214.1"")"
"Mycobacterium massiliense strain RJ-F1456 heat shock protein 65 (hsp65) gene, partial cds",Mycobacteroides abscessus subsp. massiliense,171,171,25%,3e-41,70.10,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU009470.1?report=genbank&log$=nucltop&blast_rank=755&RID=6PVX24BJ016"",""EU009470.1"")"
"Mycobacterium terrae isolate 3389 65 kDa heat shock protein gene, partial cds",Mycolicibacter terrae,171,171,25%,3e-41,70.70,408,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF601223.1?report=genbank&log$=nucltop&blast_rank=756&RID=6PVX24BJ016"",""EF601223.1"")"
"Mycobacterium massiliense heat shock protein 65 (hsp65) gene, partial cds",Mycobacteroides abscessus subsp. massiliense,171,171,27%,3e-41,69.42,468,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY596465.1?report=genbank&log$=nucltop&blast_rank=757&RID=6PVX24BJ016"",""AY596465.1"")"
"Mycobacterium sp. E1455 heat shock protein (hsp65) gene, partial cds",Mycobacterium sp. E1455,171,171,25%,3e-41,70.10,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY379077.1?report=genbank&log$=nucltop&blast_rank=758&RID=6PVX24BJ016"",""AY379077.1"")"
"Mycobacterium sp. Inje LM NTM05-66 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium sp. Inje LM NTM05-66,171,171,25%,3e-41,70.10,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ369727.1?report=genbank&log$=nucltop&blast_rank=759&RID=6PVX24BJ016"",""DQ369727.1"")"
"Mycobacterium abscessus Hsp65 type I gene, partial cds",Mycobacteroides abscessus,171,171,25%,3e-41,70.10,441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY603553.1?report=genbank&log$=nucltop&blast_rank=760&RID=6PVX24BJ016"",""AY603553.1"")"
"Mycobacterium chubuense strain CIP 106810 65 kDa heat shock protein (hsp65) gene, partial cds",Mycolicibacterium chubuense,171,171,24%,3e-41,70.54,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF547821.1?report=genbank&log$=nucltop&blast_rank=761&RID=6PVX24BJ016"",""AF547821.1"")"
Mycobacterium xenopi partial hsp65 gene for 65 kDa heat shock protein,Mycobacterium xenopi,171,171,27%,3e-41,69.73,444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AJ307661.1?report=genbank&log$=nucltop&blast_rank=762&RID=6PVX24BJ016"",""AJ307661.1"")"
"Mycobacterium avium 65 kDa heat shock protein gene, partial cds",Mycobacterium avium,171,171,27%,3e-41,69.01,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/U55826.1?report=genbank&log$=nucltop&blast_rank=763&RID=6PVX24BJ016"",""U55826.1"")"
"Mycolicibacterium gadium strain 49 heat shock protein 65 (hsp65) gene, partial cds",Mycolicibacterium gadium,170,170,25%,3e-41,70.60,438,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP598253.1?report=genbank&log$=nucltop&blast_rank=764&RID=6PVX24BJ016"",""OP598253.1"")"
"Mycobacteroides abscessus subsp. massiliense strain FJ10089 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacteroides abscessus subsp. massiliense,170,170,27%,3e-41,69.57,444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432560.1?report=genbank&log$=nucltop&blast_rank=765&RID=6PVX24BJ016"",""KF432560.1"")"
"Mycobacterium gordonae strain FJ09068 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium gordonae,170,170,24%,3e-41,70.37,423,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432496.1?report=genbank&log$=nucltop&blast_rank=766&RID=6PVX24BJ016"",""KF432496.1"")"
"Mycobacterium intracellulare strain FJ09014 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium intracellulare,170,170,27%,3e-41,69.23,440,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432478.1?report=genbank&log$=nucltop&blast_rank=767&RID=6PVX24BJ016"",""KF432478.1"")"
"Mycobacterium intracellulare strain FJ06145 60 kDa chaperonin 2 GroEL2 (groEL2) gene, partial cds",Mycobacterium intracellulare,170,170,27%,3e-41,69.23,440,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF432471.1?report=genbank&log$=nucltop&blast_rank=768&RID=6PVX24BJ016"",""KF432471.1"")"
"Mycobacterium sp. WR36 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium sp. WR36,170,170,23%,3e-41,70.91,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF591168.1?report=genbank&log$=nucltop&blast_rank=769&RID=6PVX24BJ016"",""EF591168.1"")"
"Mycobacterium sp. WR28 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium sp. WR28,170,170,24%,3e-41,70.63,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF591162.1?report=genbank&log$=nucltop&blast_rank=770&RID=6PVX24BJ016"",""EF591162.1"")"
"Mycobacterium aichiense strain ATCC 27280 heat shock protein 65 (hsp65) gene, partial cds",Mycolicibacterium aichiense,170,222,32%,3e-41,69.13,603,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY299147.1?report=genbank&log$=nucltop&blast_rank=771&RID=6PVX24BJ016"",""AY299147.1"")"
"Mycobacterium triplex strain CIP 106108 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium triplex,170,170,24%,3e-41,70.37,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF547882.1?report=genbank&log$=nucltop&blast_rank=772&RID=6PVX24BJ016"",""AF547882.1"")"
"Mycobacterium nonchromogenicum strain DSM 44164 65 kDa heat shock protein (hsp65) gene, partial cds",Mycolicibacter nonchromogenicus,170,170,24%,3e-41,70.37,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF547861.1?report=genbank&log$=nucltop&blast_rank=773&RID=6PVX24BJ016"",""AF547861.1"")"
"Mycobacterium genavense strain DSM 44424 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium genavense,170,170,24%,3e-41,70.37,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF547837.1?report=genbank&log$=nucltop&blast_rank=774&RID=6PVX24BJ016"",""AF547837.1"")"
"Mycobacterium asiaticum strain DSM 44297 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium asiaticum DSM 44297,170,170,24%,3e-41,70.37,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF547806.1?report=genbank&log$=nucltop&blast_rank=775&RID=6PVX24BJ016"",""AF547806.1"")"
Mycobacterium interjectum partial hsp65 gene for 65 kDa heat shock protein,Mycobacterium interjectum,170,170,24%,3e-41,70.78,402,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AJ307632.1?report=genbank&log$=nucltop&blast_rank=776&RID=6PVX24BJ016"",""AJ307632.1"")"
"Mycobacterium gordonae strain MYC384 Hsp65 gene, partial cds",Mycobacterium gordonae,169,169,22%,1e-40,71.39,401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK877209.1?report=genbank&log$=nucltop&blast_rank=777&RID=6PVX24BJ016"",""MK877209.1"")"
"Mycolicibacterium sp. strain MYC284 Hsp65 gene, partial cds",Mycolicibacterium sp.,169,169,22%,1e-40,71.39,401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK877118.1?report=genbank&log$=nucltop&blast_rank=778&RID=6PVX24BJ016"",""MK877118.1"")"
"Mycobacterium gordonae strain MYC254 Hsp65 gene, partial cds",Mycobacterium gordonae,169,169,22%,1e-40,71.39,401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK877090.1?report=genbank&log$=nucltop&blast_rank=779&RID=6PVX24BJ016"",""MK877090.1"")"
"Mycobacterium gordonae strain MYC195 Hsp65 gene, partial cds",Mycobacterium gordonae,169,169,22%,1e-40,71.39,401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK877035.1?report=genbank&log$=nucltop&blast_rank=780&RID=6PVX24BJ016"",""MK877035.1"")"
"Mycobacterium gordonae strain M87 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium gordonae,169,169,22%,1e-40,71.39,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX231722.1?report=genbank&log$=nucltop&blast_rank=781&RID=6PVX24BJ016"",""KX231722.1"")"
"Mycobacterium gordonae strain M32 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium gordonae,169,169,22%,1e-40,71.39,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX231716.1?report=genbank&log$=nucltop&blast_rank=782&RID=6PVX24BJ016"",""KX231716.1"")"
"Mycobacterium gordonae strain M31 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium gordonae,169,169,22%,1e-40,71.39,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX231715.1?report=genbank&log$=nucltop&blast_rank=783&RID=6PVX24BJ016"",""KX231715.1"")"
